timestamp,steer,accel,brake,gear,speedX,speedY,trackPos,angle,rpm,damage,track_0,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18,wheelSpinVel_0,wheelSpinVel_1,wheelSpinVel_2,wheelSpinVel_3,focus_0,focus_1,focus_2,focus_3,focus_4
200.451,0.00000,0.99998,0.00000,2,27.9626,-0.2149,0.31763,0.03147,5236.0,0.0,5.9812,14.4308,200.0000,106.4210,74.0394,64.3173,60.1230,56.8862,54.7845,52.8365,51.0261,49.3391,47.1622,44.9063,41.2302,35.2646,27.7227,20.8126,10.8421,25.4790,25.7126,26.4757,26.4757,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
200.470,0.00000,0.99998,0.00000,2,28.6853,-0.0878,0.31657,0.03186,5236.0,0.0,5.9930,14.5128,200.0000,105.7170,73.6242,63.9762,59.8122,56.5982,54.5107,52.5757,50.7771,49.1010,46.9380,44.6959,41.0420,35.1113,27.6160,20.7483,10.8282,26.2437,26.2622,27.1413,27.1413,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
200.491,0.00000,0.99998,0.00000,2,29.3416,-0.0418,0.31566,0.03185,5236.0,0.0,6.0010,14.5678,200.0000,105.3950,73.3991,63.7802,59.6290,56.4245,54.3435,52.4142,50.6211,48.9502,46.7937,44.5586,40.9157,35.0079,27.5444,20.7054,10.8194,26.8566,26.8515,27.7489,27.7489,4.1061,4.1065,4.1081,4.1110,4.1152
200.512,0.08490,0.99998,0.00000,2,29.9974,-0.0209,0.31476,0.03183,5236.0,0.0,6.0088,14.6240,200.0000,105.0770,73.1743,63.5840,59.4451,56.2504,54.1757,52.2523,50.4645,48.7986,46.6487,44.4202,40.7886,34.9036,27.4722,20.6622,10.8106,27.4567,27.4524,28.3585,28.3585,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
200.530,0.11334,0.99998,0.00000,2,30.6469,0.1683,0.31395,0.03092,5236.0,0.0,6.0100,14.6276,200.0000,105.5490,73.3288,63.6725,59.5093,56.2977,54.2125,52.2802,50.4846,48.8119,46.6538,44.4174,40.7747,34.8896,27.4636,20.6582,10.8112,28.2100,27.8905,28.9842,28.9842,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
200.548,0.13669,0.99998,0.00000,2,31.2942,0.3240,0.31333,0.02891,5236.0,0.0,6.0026,14.5650,200.0000,107.0240,73.9585,64.1166,59.8828,56.6207,54.5046,52.5448,50.7251,49.0305,46.8458,44.5835,40.9017,34.9869,27.5336,20.7028,10.8240,28.9071,28.3978,29.6268,29.6268,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
200.573,0.11670,0.99998,0.00000,2,31.9417,0.4495,0.31289,0.02629,5236.0,0.0,5.9899,14.4653,200.0000,109.1400,74.8801,64.7761,60.4430,57.1092,54.9494,52.9509,51.0965,49.3712,47.1484,44.8491,41.1116,35.1479,27.6489,20.7757,10.8441,29.5743,28.9341,30.2601,30.2601,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
200.592,0.08804,0.99998,0.00000,2,32.5965,0.4655,0.31256,0.02366,5236.0,0.0,5.9762,14.3656,200.0000,111.3590,75.8319,65.4546,61.0180,57.6104,55.4052,53.3667,51.4766,49.7194,47.4576,45.1200,41.3254,35.3095,27.7651,20.8496,10.8650,30.1487,29.5584,30.8646,30.8646,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
200.608,0.06775,0.99998,0.00000,2,33.2543,0.4137,0.31227,0.02151,5236.0,0.0,5.9653,14.2942,200.0000,113.1890,76.5888,65.9849,61.4632,57.9950,55.7528,53.6817,51.7627,49.9798,47.6864,45.3184,41.4780,35.4212,27.8464,20.9022,10.8810,30.6815,30.2173,31.4560,31.4560,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
200.633,0.00000,0.99998,0.00000,2,33.9110,0.3504,0.31197,0.01983,5236.0,0.0,5.9574,14.2514,200.0000,114.5750,77.1321,66.3544,61.7680,58.2544,55.9846,53.8889,51.9484,50.1465,47.8299,45.4392,41.5659,35.4812,27.8914,20.9326,10.8918,31.2266,30.8649,32.0532,32.0532,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
